regime,scenario,t_hours,delta_psi_mV,sumATP_c_mM
uniform_12h,A,34.37185929648241,149.54812248579412,0.4972044580737905
uniform_12h,A,34.733668341708544,149.34896837441346,0.3063672236118714
uniform_12h,A,35.095477386934675,149.14896760193983,0.10624196042523974
uniform_12h,A,35.45728643216081,148.94946396478556,-0.10200114904356983
uniform_12h,A,35.81909547738694,148.7503900850491,-0.31928231002869084
uniform_12h,A,36.18090452261307,148.55067109957722,-0.5468402041102
uniform_12h,A,36.54271356783919,148.35189167924347,-0.783393199928267
uniform_12h,A,36.90452261306533,148.15337687481676,-1.0304428566672206
uniform_12h,A,37.266331658291456,147.95460375722737,-1.288627633925413
uniform_12h,A,37.62814070351759,147.75696136886165,-1.5569950832450037
uniform_12h,A,37.989949748743726,147.55951692098208,-1.8373838164062508
uniform_12h,A,38.35175879396985,147.36231902466034,-2.1296269052821786
uniform_12h,A,38.71356783919598,147.16627100190246,-2.4335374996131423
uniform_12h,A,39.07537688442211,146.97039487869006,-2.750969949506605
uniform_12h,A,39.437185929648244,146.7753920466087,-3.0810051476094062
uniform_12h,A,39.798994974874375,146.5814207752027,-3.424378562891436
uniform_12h,A,40.1608040201005,146.38777213747449,-3.782600541751984
uniform_12h,A,40.52261306532664,146.1953876407112,-4.154474151791494
uniform_12h,A,40.88442211055277,146.0039757549668,-4.54138656626042
uniform_12h,A,41.246231155778894,145.81316666562847,-4.944281064469147
uniform_12h,A,41.608040201005025,145.62381969716816,-5.362155747754987
uniform_12h,A,41.969849246231156,145.43543367800916,-5.796792004523627
uniform_12h,A,42.33165829145729,145.2479959004275,-6.248368630578681
uniform_12h,A,42.69346733668342,145.0620926956188,-6.716478920807836
uniform_12h,A,43.05527638190954,144.8771633900582,-7.203026653274233
uniform_12h,A,43.41708542713568,144.6935840133684,-7.707352291643573
uniform_12h,A,43.77889447236181,144.51150288763387,-8.229942794218381
uniform_12h,A,44.14070351758794,144.33050010727848,-8.772420607794064
uniform_12h,A,44.502512562814076,144.1511160957507,-9.33370615520887
uniform_12h,A,44.86432160804021,143.9731969416582,-9.914968142808414
uniform_12h,A,45.22613065326633,143.79653024581947,-10.517331784494518
uniform_12h,A,45.58793969849247,143.62161761829722,-11.139710761209788
uniform_12h,A,45.949748743718594,143.44815472888433,-11.783718153589327
uniform_12h,A,46.311557788944725,143.27616372400797,-12.449771740112721
uniform_12h,A,46.67336683417086,143.10595572821336,-13.137217473888974
uniform_12h,A,47.03517587939699,142.93719533476764,-13.847857169350494
uniform_12h,A,47.39698492462312,142.77013985939342,-14.58122851860727
uniform_12h,A,47.75879396984924,142.60481984788163,-15.337505236731491
uniform_12h,A,48.120603015075375,142.44099727803484,-16.118292973476994
uniform_12h,A,48.48241206030151,142.27901189465538,-16.922562462550825
uniform_12h,A,48.84422110552764,142.11871282816102,-17.751168304088047
uniform_12h,A,49.20603015075377,141.96000957451005,-18.605278520161175
uniform_12h,A,49.56783919597991,141.80317973802346,-19.483725463728657
uniform_12h,A,49.92964824120603,141.6479835154869,-20.38784979860349
uniform_12h,A,50.29145728643216,141.49451573060634,-21.318127930558497
uniform_12h,A,50.6532663316583,141.34287054816707,-22.273756764036786
uniform_12h,A,51.015075376884425,141.19282158704416,-23.256229181441732
uniform_12h,A,51.37688442211056,141.044623688416,-24.26526226747765
uniform_12h,A,51.73869346733668,140.89816123350812,-25.300646262762484
uniform_12h,A,52.10050251256282,140.75330594554893,-26.363844573734124
uniform_12h,A,52.46231155778895,140.61032877988316,-27.45382799939261
uniform_12h,A,52.824120603015075,140.46900286994344,-28.571174342644177
uniform_12h,A,53.185929648241206,140.32933710283942,-29.716926767809735
uniform_12h,A,53.54773869346734,140.1914898647236,-30.889869267821847
uniform_12h,A,53.90954773869347,140.05521840207646,-32.09099762064576
uniform_12h,A,54.2713567839196,139.92067916187747,-33.320827326601645
uniform_12h,A,54.633165829145725,139.7878504307416,-34.57830717184791
uniform_12h,A,54.99497487437186,139.65652120055628,-35.86463860682682
uniform_12h,A,55.356783919597994,139.52701805395088,-37.179609352255525
uniform_12h,A,55.71859296482412,139.39907842971226,-38.522714897535785
uniform_12h,A,56.08040201005026,139.27263525257047,-39.89519747362549
uniform_12h,A,56.44221105527639,139.14796272170034,-41.29608512727094
uniform_12h,A,56.80402010050251,139.0247522125284,-42.72560029574558
uniform_12h,A,57.16582914572865,138.90307688728265,-44.18459657142019
uniform_12h,A,57.527638190954775,138.78305238905835,-45.67193965335569
uniform_12h,A,57.88944723618091,138.66439625810813,-47.18823476909968
uniform_12h,A,58.25125628140704,138.54733142879493,-48.733898751887644
uniform_12h,A,58.61306532663317,138.43176598482034,-50.30784866607899
uniform_12h,A,58.9748743718593,138.31747702453814,-51.91093534080369
uniform_12h,A,59.336683417085425,138.20484989608278,-53.54308204758647
uniform_12h,A,59.698492462311556,138.09354407358617,-55.20345374183878
uniform_12h,A,60.060301507537694,137.983499011207,-56.893056724882655
uniform_12h,A,60.42211055276382,137.87506139637767,-58.610977807392956
uniform_12h,A,60.78391959798995,137.76780914688777,-60.3572550248415
uniform_12h,A,61.14572864321609,137.66186075253458,-62.132550341849225
uniform_12h,A,61.50753768844221,137.55736384476927,-63.93563536370189
uniform_12h,A,61.869346733668344,137.45395871011107,-65.76693130083194
uniform_12h,A,62.23115577889448,137.35191963733735,-67.62685254009479
uniform_12h,A,62.59296482412061,137.25114815482496,-69.51412173077608
uniform_12h,A,62.95477386934674,137.15137431277338,-71.42940461009135
uniform_12h,A,63.31658291457286,137.0530553662087,-73.37260935920266
uniform_12h,A,63.678391959799,136.95579372566064,-75.34283602010242
uniform_12h,A,64.04020100502512,136.85949870478996,-77.34087866001794
uniform_12h,A,64.40201005025126,136.76464173829126,-79.36584279702495
uniform_12h,A,64.76381909547739,136.67067528867753,-81.4175762590274
uniform_12h,A,65.12562814070351,136.5777442097472,-83.49655908046675
uniform_12h,A,65.48743718592965,136.48606269277755,-85.60178326490184
uniform_12h,A,65.84924623115579,136.39517806223162,-87.73341099473166
uniform_12h,A,66.21105527638191,136.30541429862316,-89.89172150500123
uniform_12h,A,66.57286432160804,136.21669648917046,-92.07546157396646
uniform_12h,A,66.93467336683418,136.12868463365618,-94.28511789666462
uniform_12h,A,67.2964824120603,136.04190585385692,-96.52068537187061
uniform_12h,A,67.65829145728644,135.95594289785916,-98.78105368978756
uniform_12h,A,68.02010050251258,135.87063245978152,-101.06689692433108
uniform_12h,A,68.3819095477387,135.78662033509352,-103.37756005775678
uniform_12h,A,68.74371859296483,135.70320607167585,-105.71258269416606
uniform_12h,A,69.10552763819095,135.62054434560886,-108.07240528067584
uniform_12h,A,69.46733668341709,135.53897071303507,-110.45610736296527
uniform_12h,A,69.82914572864323,135.45790322745955,-112.86371444430246
uniform_12h,A,70.19095477386935,135.37771469395565,-115.2953419316228
uniform_12h,A,70.55276381909547,135.29838106484755,-117.74999452775596
